Date,Open,High,Low,Close,Volume,Adj Close,,,,,,,,,
18-Oct-12,"3,097.77","3,102.56","3,065.24","3,072.87","2,043,290,000","3,072.87",,,,,,,,,
17-Oct-12,"3,091.38","3,112.45","3,088.05","3,104.12","1,770,920,000","3,104.12",,,,,,,,,
16-Oct-12,"3,073.21","3,102.97","3,070.25","3,101.17","1,736,930,000","3,101.17",,,,,,,,,
15-Oct-12,"3,053.21","3,066.31","3,037.27","3,064.18","1,563,440,000","3,064.18",,,,,,,,,
12-Oct-12,"3,049.08","3,061.77","3,039.58","3,044.11","1,524,840,000","3,044.11",,,,,,,,,
11-Oct-12,"3,075.89","3,078.08","3,047.14","3,049.41","1,595,020,000","3,049.41",,,,,,,,,
10-Oct-12,"3,066.25","3,071.57","3,046.78","3,051.78","1,788,970,000","3,051.78",,,,,,,,,
9-Oct-12,"3,108.01","3,108.01","3,062.52","3,065.02","1,645,740,000","3,065.02",,,,,,,,,
8-Oct-12,"3,121.33","3,125.49","3,107.57","3,112.35","1,186,260,000","3,112.35",,,,,,,,,
5-Oct-12,"3,161.21","3,171.46","3,130.76","3,136.19","1,607,940,000","3,136.19",,,,,,,,,
4-Oct-12,"3,142.38","3,153.48","3,132.56","3,149.46","1,585,190,000","3,149.46",,,,,,,,,
3-Oct-12,"3,130.85","3,142.36","3,115.04","3,135.23","1,704,050,000","3,135.23",,,,,,,,,
2-Oct-12,"3,127.73","3,131.64","3,101.64","3,120.04","1,609,570,000","3,120.04",,,,,,,,,
1-Oct-12,"3,130.31","3,146.99","3,103.89","3,113.53","1,758,170,000","3,113.53",,,,,,,,,
28-Sep-12,"3,125.31","3,132.51","3,109.91","3,116.23","1,864,640,000","3,116.23",,,,,,,,,
27-Sep-12,"3,105.87","3,142.02","3,098.46","3,136.60","1,691,800,000","3,136.60",,,,,,,,,
26-Sep-12,"3,113.40","3,114.54","3,080.28","3,093.70","1,738,010,000","3,093.70",,,,,,,,,
25-Sep-12,"3,170.37","3,176.30","3,117.73","3,117.73","1,975,470,000","3,117.73",,,,,,,,,
24-Sep-12,"3,155.35","3,167.74","3,150.71","3,160.78","1,704,860,000","3,160.78",,,,,,,,,
21-Sep-12,"3,194.86","3,196.93","3,178.09","3,179.96","2,526,250,000","3,179.96",,,,,,,,,
20-Sep-12,"3,166.84","3,178.45","3,156.46","3,175.96","1,809,130,000","3,175.96",,,,,,,,,
19-Sep-12,"3,179.04","3,189.35","3,170.29","3,182.62","1,850,920,000","3,182.62",,,,,,,,,
18-Sep-12,"3,173.62","3,179.37","3,169.41","3,177.80","1,707,200,000","3,177.80",,,,,,,,,
17-Sep-12,"3,183.40","3,183.40","3,168.63","3,178.67","1,485,390,000","3,178.67",,,,,,,,,
14-Sep-12,"3,166.24","3,195.67","3,164.26","3,183.95","1,984,720,000","3,183.95",,,,,,,,,
13-Sep-12,"3,117.66","3,167.63","3,112.62","3,155.83","1,870,050,000","3,155.83",,,,,,,,,
12-Sep-12,"3,115.33","3,120.12","3,098.82","3,114.31","1,689,140,000","3,114.31",,,,,,,,,
11-Sep-12,"3,105.02","3,117.86","3,099.10","3,104.53","1,586,250,000","3,104.53",,,,,,,,,
10-Sep-12,"3,131.34","3,133.89","3,102.76","3,104.02","1,575,370,000","3,104.02",,,,,,,,,
7-Sep-12,"3,133.22","3,139.61","3,128.17","3,136.42","1,740,640,000","3,136.42",,,,,,,,,
6-Sep-12,"3,087.94","3,135.81","3,087.67","3,135.81","1,918,900,000","3,135.81",,,,,,,,,
5-Sep-12,"3,072.58","3,082.75","3,062.54","3,069.27","1,495,030,000","3,069.27",,,,,,,,,
4-Sep-12,"3,063.25","3,082.26","3,040.24","3,075.06","1,505,960,000","3,075.06",,,,,,,,,
31-Aug-12,"3,069.64","3,078.52","3,040.59","3,066.96","1,394,760,000","3,066.96",,,,,,,,,
30-Aug-12,"3,066.73","3,067.54","3,045.92","3,048.71","1,216,640,000","3,048.71",,,,,,,,,
29-Aug-12,"3,078.05","3,087.24","3,067.62","3,081.19","1,282,900,000","3,081.19",,,,,,,,,
28-Aug-12,"3,069.40","3,083.19","3,063.65","3,077.14","1,364,740,000","3,077.14",,,,,,,,,
27-Aug-12,"3,083.62","3,085.81","3,068.13","3,073.19","1,383,530,000","3,073.19",,,,,,,,,
24-Aug-12,"3,045.22","3,076.80","3,042.22","3,069.79","1,349,740,000","3,069.79",,,,,,,,,
23-Aug-12,"3,065.82","3,070.34","3,045.52","3,053.40","1,383,860,000","3,053.40",,,,,,,,,
22-Aug-12,"3,059.94","3,080.73","3,053.43","3,073.67","1,459,130,000","3,073.67",,,,,,,,,
21-Aug-12,"3,085.25","3,100.54","3,058.74","3,067.26","1,574,220,000","3,067.26",,,,,,,,,
20-Aug-12,"3,072.66","3,076.21","3,059.90","3,076.21","1,451,550,000","3,076.21",,,,,,,,,
17-Aug-12,"3,067.11","3,076.72","3,060.15","3,076.59","1,640,640,000","3,076.59",,,,,,,,,
16-Aug-12,"3,037.18","3,067.44","3,033.28","3,062.39","1,937,430,000","3,062.39",,,,,,,,,
15-Aug-12,"3,013.33","3,032.06","3,013.33","3,030.93","1,536,730,000","3,030.93",,,,,,,,,
14-Aug-12,"3,032.67","3,034.16","3,009.93","3,016.98","1,567,830,000","3,016.98",,,,,,,,,
13-Aug-12,"3,018.27","3,023.03","2,999.12","3,022.52","1,353,380,000","3,022.52",,,,,,,,,
10-Aug-12,"3,008.83","3,020.86","3,003.38","3,020.86","1,556,460,000","3,020.86",,,,,,,,,
9-Aug-12,"3,009.86","3,022.69","3,007.30","3,018.64","1,677,970,000","3,018.64",,,,,,,,,
8-Aug-12,"3,003.77","3,018.90","3,002.41","3,011.25","1,874,580,000","3,011.25",,,,,,,,,
7-Aug-12,"3,002.66","3,028.61","3,002.09","3,015.86","1,899,240,000","3,015.86",,,,,,,,,
6-Aug-12,"2,978.16","3,000.24","2,974.23","2,989.91","1,528,260,000","2,989.91",,,,,,,,,
3-Aug-12,"2,951.28","2,977.41","2,945.81","2,967.90","1,730,210,000","2,967.90",,,,,,,,,
2-Aug-12,"2,900.46","2,934.65","2,890.85","2,909.77","1,822,620,000","2,909.77",,,,,,,,,
1-Aug-12,"2,956.72","2,958.28","2,917.78","2,920.21","1,722,530,000","2,920.21",,,,,,,,,
31-Jul-12,"2,945.08","2,959.62","2,938.41","2,939.52","1,801,440,000","2,939.52",,,,,,,,,
30-Jul-12,"2,959.07","2,970.30","2,939.04","2,945.84","1,483,990,000","2,945.84",,,,,,,,,
27-Jul-12,"2,906.50","2,961.87","2,900.98","2,958.09","2,102,610,000","2,958.09",,,,,,,,,
26-Jul-12,"2,896.68","2,905.57","2,876.01","2,893.25","1,981,520,000","2,893.25",,,,,,,,,
25-Jul-12,"2,856.78","2,870.22","2,839.76","2,854.24","1,784,150,000","2,854.24",,,,,,,,,
24-Jul-12,"2,894.95","2,896.56","2,847.22","2,862.99","1,748,410,000","2,862.99",,,,,,,,,
23-Jul-12,"2,877.51","2,898.05","2,852.88","2,890.15","1,607,140,000","2,890.15",,,,,,,,,
20-Jul-12,"2,957.02","2,957.02","2,925.30","2,925.30","1,810,420,000","2,925.30",,,,,,,,,
19-Jul-12,"2,961.71","2,976.22","2,952.42","2,965.90","1,735,920,000","2,965.90",,,,,,,,,
18-Jul-12,"2,904.24","2,951.30","2,902.95","2,942.60","1,817,040,000","2,942.60",,,,,,,,,
17-Jul-12,"2,911.46","2,916.61","2,871.65","2,910.04","1,774,160,000","2,910.04",,,,,,,,,
16-Jul-12,"2,903.03","2,910.20","2,888.01","2,896.94","1,414,470,000","2,896.94",,,,,,,,,
13-Jul-12,"2,874.06","2,913.28","2,873.39","2,908.47","1,373,620,000","2,908.47",,,,,,,,,
12-Jul-12,"2,867.08","2,876.32","2,837.72","2,866.19","1,719,460,000","2,866.19",,,,,,,,,
11-Jul-12,"2,898.77","2,905.51","2,866.53","2,887.98","1,635,120,000","2,887.98",,,,,,,,,
10-Jul-12,"2,945.35","2,953.47","2,891.42","2,902.33","1,725,730,000","2,902.33",,,,,,,,,
9-Jul-12,"2,934.49","2,942.99","2,919.04","2,931.77","1,455,500,000","2,931.77",,,,,,,,,
6-Jul-12,"2,955.20","2,957.50","2,921.37","2,937.33","1,437,420,000","2,937.33",,,,,,,,,
5-Jul-12,"2,970.37","2,987.94","2,958.30","2,976.12","1,423,990,000","2,976.12",,,,,,,,,
3-Jul-12,"2,950.81","2,976.08","2,948.40","2,976.08","1,009,330,000","2,976.08",,,,,,,,,
2-Jul-12,"2,938.41","2,951.23","2,925.71","2,951.23","1,845,240,000","2,951.23",,,,,,,,,
29-Jun-12,"2,902.44","2,935.13","2,895.60","2,935.05","2,021,190,000","2,935.05",,,,,,,,,
28-Jun-12,"2,853.89","2,855.74","2,818.19","2,849.49","1,795,850,000","2,849.49",,,,,,,,,
27-Jun-12,"2,862.13","2,882.40","2,860.13","2,875.32","1,668,580,000","2,875.32",,,,,,,,,
26-Jun-12,"2,845.40","2,862.15","2,832.02","2,854.06","1,623,160,000","2,854.06",,,,,,,,,
25-Jun-12,"2,863.89","2,863.89","2,829.23","2,836.16","1,514,430,000","2,836.16",,,,,,,,,
22-Jun-12,"2,866.17","2,894.35","2,863.93","2,892.42","3,544,010,000","2,892.42",,,,,,,,,
21-Jun-12,"2,929.15","2,930.93","2,857.10","2,859.09","1,822,200,000","2,859.09",,,,,,,,,
20-Jun-12,"2,932.96","2,942.28","2,910.00","2,930.45","1,563,080,000","2,930.45",,,,,,,,,
19-Jun-12,"2,909.87","2,940.23","2,908.45","2,929.76","1,835,480,000","2,929.76",,,,,,,,,
18-Jun-12,"2,872.49","2,903.03","2,853.86","2,895.33","1,586,190,000","2,895.33",,,,,,,,,
15-Jun-12,"2,839.40","2,874.38","2,837.94","2,872.80","2,020,100,000","2,872.80",,,,,,,,,
14-Jun-12,"2,820.63","2,842.31","2,807.55","2,836.33","1,633,370,000","2,836.33",,,,,,,,,
13-Jun-12,"2,838.12","2,853.17","2,810.59","2,818.61","1,602,080,000","2,818.61",,,,,,,,,
12-Jun-12,"2,815.84","2,843.67","2,802.38","2,843.07","1,594,310,000","2,843.07",,,,,,,,,
11-Jun-12,"2,882.49","2,882.96","2,806.90","2,809.73","1,480,220,000","2,809.73",,,,,,,,,
8-Jun-12,"2,823.82","2,860.94","2,814.80","2,858.42","1,390,260,000","2,858.42",,,,,,,,,
7-Jun-12,"2,872.05","2,873.59","2,827.82","2,831.02","1,655,370,000","2,831.02",,,,,,,,,
6-Jun-12,"2,796.23","2,844.72","2,796.23","2,844.72","1,761,050,000","2,844.72",,,,,,,,,
5-Jun-12,"2,749.35","2,781.97","2,749.34","2,778.11","1,625,600,000","2,778.11",,,,,,,,,
4-Jun-12,"2,747.61","2,769.93","2,726.68","2,760.01","1,755,750,000","2,760.01",,,,,,,,,
1-Jun-12,"2,810.13","2,810.13","2,747.24","2,747.48","1,966,370,000","2,747.48",,,,,,,,,
31-May-12,"2,837.37","2,842.43","2,801.96","2,827.34","2,180,130,000","2,827.34",,,,,,,,,
30-May-12,"2,847.27","2,847.27","2,825.64","2,837.36","1,671,040,000","2,837.36",,,,,,,,,
29-May-12,"2,853.27","2,882.83","2,846.68","2,870.99","221,430,000","2,870.99",,,,,,,,,
25-May-12,"12,530.74","12,533.12","12,421.53","12,454.83","930,000","12,454.83",,,,,,,,,
24-May-12,"12,491.91","12,539.59","12,419.63","12,529.75","1,268,100","12,529.75",,,,,,,,,
23-May-12,"12,501.52","12,508.30","12,311.56","12,496.15","1,521,900","12,496.15",,,,,,,,,
22-May-12,"12,505.38","12,575.96","12,447.33","12,502.81","1,336,500","12,502.81",,,,,,,,,
21-May-12,"12,369.15","12,508.11","12,367.72","12,504.48","1,421,100","12,504.48",,,,,,,,,
18-May-12,"12,443.02","12,492.97","12,336.76","12,369.38","2,407,200","12,369.38",,,,,,,,,
17-May-12,"12,598.32","12,611.42","12,440.52","12,442.49","1,474,300","12,442.49",,,,,,,,,
16-May-12,"12,617.32","12,722.63","12,597.34","12,598.55","1,431,300","12,598.55",,,,,,,,,
15-May-12,"12,695.05","12,758.43","12,608.16","12,632.00","1,560,600","12,632.00",,,,,,,,,
14-May-12,"12,818.49","12,818.86","12,661.48","12,695.35","1,431,900","12,695.35",,,,,,,,,
11-May-12,"12,851.79","12,918.01","12,779.28","12,820.60","1,483,700","12,820.60",,,,,,,,,
10-May-12,"12,831.58","12,931.71","12,820.30","12,855.04","1,516,500","12,855.04",,,,,,,,,
9-May-12,"12,921.81","12,921.81","12,748.48","12,835.06","1,474,600","12,835.06",,,,,,,,,
8-May-12,"13,000.73","13,000.73","12,810.39","12,932.09","1,386,200","12,932.09",,,,,,,,,
7-May-12,"13,035.85","13,049.09","12,970.00","13,008.53","1,100,800","13,008.53",,,,,,,,,
4-May-12,"13,204.62","13,205.00","13,022.34","13,038.27","1,137,900","13,038.27",,,,,,,,,
3-May-12,"13,267.59","13,284.09","13,175.64","13,206.59","1,020,900","13,206.59",,,,,,,,,
2-May-12,"13,278.11","13,278.11","13,192.21","13,268.57","1,007,700","13,268.57",,,,,,,,,
1-May-12,"13,214.16","13,338.66","13,174.65","13,279.32","1,234,000","13,279.32",,,,,,,,,
30-Apr-12,"13,228.31","13,228.76","13,176.01","13,213.63","1,278,700","13,213.63",,,,,,,,,
27-Apr-12,"13,204.70","13,266.68","13,192.21","13,228.31","1,108,500","13,228.31",,,,,,,,,
26-Apr-12,"13,090.11","13,227.82","13,075.96","13,204.62","1,075,700","13,204.62",,,,,,,,,
25-Apr-12,"12,997.69","13,105.70","12,993.60","13,090.72","1,352,600","13,090.72",,,,,,,,,
24-Apr-12,"12,927.77","13,050.30","12,926.49","13,001.56","1,341,100","13,001.56",,,,,,,,,
23-Apr-12,"13,028.20","13,028.20","12,845.58","12,927.17","1,393,700","12,927.17",,,,,,,,,
20-Apr-12,"12,964.48","13,082.54","12,964.25","13,029.26","2,120,800","13,029.26",,,,,,,,,
19-Apr-12,"13,028.73","13,080.20","12,896.82","12,964.10","1,398,100","12,964.10",,,,,,,,,
18-Apr-12,"13,114.56","13,114.56","13,027.49","13,032.75","1,135,200","13,032.75",,,,,,,,,
17-Apr-12,"12,921.79","13,131.36","12,921.79","13,115.54","1,153,200","13,115.54",,,,,,,,,
16-Apr-12,"12,850.88","12,986.77","12,850.80","12,921.41","1,209,900","12,921.41",,,,,,,,,
13-Apr-12,"12,986.20","12,986.35","12,845.28","12,849.59","1,409,900","12,849.59",,,,,,,,,
12-Apr-12,"12,806.45","12,986.96","12,806.30","12,986.58","1,197,800","12,986.58",,,,,,,,,
11-Apr-12,"12,716.92","12,844.82","12,716.92","12,805.39","1,252,100","12,805.39",,,,,,,,,
10-Apr-12,"12,929.44","12,929.59","12,710.56","12,715.93","1,592,900","12,715.93",,,,,,,,,
9-Apr-12,"13,057.57","13,057.72","12,903.78","12,929.59","1,055,800","12,929.59",,,,,,,,,
5-Apr-12,"13,067.18","13,088.11","13,012.46","13,060.14","1,095,300","13,060.14",,,,,,,,,
4-Apr-12,"13,198.19","13,198.19","13,020.86","13,074.75","1,250,000","13,074.75",,,,,,,,,
3-Apr-12,"13,258.96","13,265.36","13,131.21","13,199.55","1,239,800","13,199.55",,,,,,,,,
2-Apr-12,"13,211.36","13,297.11","13,153.69","13,264.49","1,087,900","13,264.49",,,,,,,,,
30-Mar-12,"13,147.94","13,224.49","13,147.78","13,212.04","1,711,900","13,212.04",,,,,,,,,
29-Mar-12,"13,125.99","13,151.57","13,032.67","13,145.82","1,362,500","13,145.82",,,,,,,,,
28-Mar-12,"13,195.39","13,212.64","13,069.26","13,126.21","1,415,400","13,126.21",,,,,,,,,
27-Mar-12,"13,242.09","13,264.98","13,194.33","13,197.73","1,292,800","13,197.73",,,,,,,,,
26-Mar-12,"13,082.62","13,243.86","13,082.39","13,241.63","1,220,800","13,241.63",,,,,,,,,
23-Mar-12,"13,045.99","13,099.91","13,002.77","13,080.73","1,299,300","13,080.73",,,,,,,,,
22-Mar-12,"13,124.40","13,124.47","13,017.42","13,046.14","1,220,600","13,046.14",,,,,,,,,
21-Mar-12,"13,170.79","13,190.02","13,112.93","13,124.62","1,248,600","13,124.62",,,,,,,,,
20-Mar-12,"13,238.45","13,238.45","13,123.38","13,170.19","1,316,600","13,170.19",,,,,,,,,
19-Mar-12,"13,231.94","13,269.71","13,208.63","13,239.13","1,471,200","13,239.13",,,,,,,,,
16-Mar-12,"13,253.51","13,289.08","13,231.45","13,232.62","3,926,200","13,232.62",,,,,,,,,
15-Mar-12,"13,192.97","13,253.51","13,170.19","13,252.76","1,616,500","13,252.76",,,,,,,,,
14-Mar-12,"13,177.15","13,221.27","13,166.25","13,194.10","1,636,100","13,194.10",,,,,,,,,
13-Mar-12,"12,953.20","13,180.40","12,953.13","13,177.68","1,631,300","13,177.68",,,,,,,,,
12-Mar-12,"12,920.58","12,976.36","12,919.98","12,959.71","1,000,000","12,959.71",,,,,,,,,
9-Mar-12,"12,908.62","12,968.79","12,906.43","12,922.02","1,032,400","12,922.02",,,,,,,,,
8-Mar-12,"12,835.53","12,937.19","12,835.53","12,907.94","1,035,300","12,907.94",,,,,,,,,
7-Mar-12,"12,756.12","12,857.73","12,751.51","12,837.33","1,751,100","12,837.33",,,,,,,,,
6-Mar-12,"12,958.65","12,958.73","12,734.86","12,759.15","1,423,300","12,759.15",,,,,,,,,
5-Mar-12,"12,977.34","12,977.34","12,883.91","12,962.81","1,086,300","12,962.81",,,,,,,,,
2-Mar-12,"12,980.75","12,997.51","12,927.77","12,977.57","939,000","12,977.57",,,,,,,,,
1-Mar-12,"12,952.29","13,032.67","12,943.06","12,980.30","1,396,700","12,980.30",,,,,,,,,
29-Feb-12,"13,005.42","13,055.75","12,929.66","12,952.07","1,824,600","12,952.07",,,,,,,,,
28-Feb-12,"12,976.74","13,021.51","12,952.82","13,005.12","1,144,900","13,005.12",,,,,,,,,
27-Feb-12,"12,981.13","13,027.52","12,882.59","12,981.51","1,435,300","12,981.51",,,,,,,,,
24-Feb-12,"12,981.20","13,013.82","12,950.59","12,982.95","894,400","12,982.95",,,,,,,,,
23-Feb-12,"12,937.08","12,996.08","12,882.67","12,984.69","1,204,800","12,984.69",,,,,,,,,
22-Feb-12,"12,966.22","12,977.91","12,914.83","12,938.67","1,242,000","12,938.67",,,,,,,,,
21-Feb-12,"12,949.34","13,005.04","12,926.11","12,965.69","1,647,800","12,965.69",,,,,,,,,
17-Feb-12,"12,903.33","12,967.92","12,903.25","12,949.87","2,346,500","12,949.87",,,,,,,,,
16-Feb-12,"12,779.81","12,914.00","12,779.58","12,904.08","1,344,500","12,904.08",,,,,,,,,
15-Feb-12,"12,864.65","12,899.47","12,753.62","12,780.95","1,275,600","12,780.95",,,,,,,,,
14-Feb-12,"12,871.77","12,878.88","12,786.93","12,878.28","1,200,500","12,878.28",,,,,,,,,
13-Feb-12,"12,799.11","12,887.93","12,799.11","12,874.04","1,122,400","12,874.04",,,,,,,,,
10-Feb-12,"12,889.55","12,889.63","12,743.56","12,801.23","1,236,200","12,801.23",,,,,,,,,
